TimeStamp,Partida V115,Estado Bombeo Semi V115,SP Semi V115,Estado Bombeo Receta V115,SP Receta V115,Consumo V115,Partida D122,Estado Bombeo Semi D122,SP Semi D122,Estado Bombeo Receta D122,SP Receta D122,Consumo D122,Partida V131,Estado Bombeo Semi V131,SP Semi V131,Estado Bombeo Receta V131,SP Receta V131,Consumo V131,Partida V141,Estado Bombeo Semi V141,SP Semi V141,Estado Bombeo Receta V141,SP Receta V141,Consumo V141,Partida V221,Estado Bombeo Semi V221,SP Semi V221,Estado Bombeo Receta V221,SP Receta V221,Consumo V221,Partida V241,Estado Bombeo Semi V241,SP Semi V241,Estado Bombeo Receta V241,SP Receta V241,Consumo V241
2024-10-22 17:00:00,12345678,Inactive,12,Inactive,594.72632,631.58881,12345678,-1,50,Inactive,16.309624,244.90857,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,617.07281,999.51563,,Inactive,0,Inactive,532.82037,898.09003,,-1,100,Inactive,1573.8558,612.3678
2024-10-22 18:00:00,12345678,Inactive,12,Inactive,614.0553,631.58881,12345678,-1,50,Inactive,16.85084,243.80667,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,638.23407,999.51563,,Inactive,0,Inactive,552.31836,898.09003,,-1,100,Inactive,1632.6869,612.3678
2024-10-22 19:00:00,12345678,Inactive,12,Inactive,633.38434,631.58881,12345678,-1,50,Inactive,17.392056,242.70476,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,659.39532,999.51563,,Inactive,0,Inactive,571.81641,898.09003,,-1,100,Inactive,1691.5181,612.3678
2024-10-22 20:00:00,12345678,Inactive,12,Inactive,634.43823,652.42914,12345678,-1,50,Inactive,17.933271,241.60286,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,680.55652,999.51563,,Inactive,0,Inactive,591.31445,898.09003,,-1,100,Inactive,1750.3492,612.3678
2024-10-22 21:00:00,12345678,Inactive,12,Inactive,623.61017,652.42914,12345678,-1,50,Inactive,18.474487,240.50096,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,701.71777,999.51563,,Inactive,0,Inactive,610.8125,898.09003,,-1,100,Inactive,1809.1804,612.3678
2024-10-22 22:00:00,12345678,Inactive,12,Inactive,612.7821,652.42914,12345678,-1,50,Inactive,19.015703,239.39905,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,722.87903,999.51563,,Inactive,0,Inactive,630.31049,898.09003,,-1,100,Inactive,1868.0115,612.3678
2024-10-22 23:00:00,12345678,Inactive,12,Inactive,601.95404,652.42914,12345678,-1,50,Inactive,19.556919,238.29715,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,744.04028,999.51563,,Inactive,0,Inactive,649.80853,898.09003,,-1,100,Inactive,1926.8427,612.3678
2024-10-23 00:00:00,12345678,Inactive,12,Inactive,591.12598,652.42914,12345678,-1,50,Inactive,20.098135,237.19524,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,765.20148,999.51563,,Inactive,0,Inactive,669.30658,898.09003,,-1,100,Inactive,1985.6738,612.3678
2024-10-23 01:00:00,12345678,Inactive,12,Inactive,580.29791,652.42914,12345678,-1,50,Inactive,20.639351,236.09334,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,786.36273,999.51563,,Inactive,0,Inactive,688.80463,898.09003,,-1,100,Inactive,2044.505,612.3678
2024-10-23 02:00:00,12345678,Inactive,12,Inactive,569.46985,652.42914,12345678,-1,50,Inactive,21.180567,234.99144,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,807.52399,999.51563,,Inactive,0,Inactive,708.30261,898.09003,,-1,100,Inactive,2103.3362,612.3678
2024-10-23 03:00:00,12345678,Inactive,12,Inactive,566.10059,575.45551,12345678,-1,50,Inactive,21.721783,233.88953,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,828.68524,999.51563,,Inactive,0,Inactive,727.80066,898.09003,,-1,100,Inactive,2162.1672,612.3678
2024-10-23 04:00:00,12345678,Inactive,12,Inactive,567.97498,575.45551,12345678,-1,50,Inactive,22.262999,232.78763,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,849.84644,999.51563,,Inactive,0,Inactive,747.29871,898.09003,,-1,100,Inactive,2220.9983,612.3678
2024-10-23 05:00:00,12345678,Inactive,12,Inactive,569.8493,575.45551,12345678,-1,50,Inactive,22.804214,231.68573,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,871.00769,999.51563,,Inactive,0,Inactive,766.79675,898.09003,,-1,100,Inactive,2279.8296,612.3678
2024-10-23 06:00:00,12345678,Inactive,12,Inactive,571.72363,575.45551,12345678,-1,50,Inactive,23.34543,230.58382,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,892.16895,999.51563,,Inactive,0,Inactive,786.29474,898.09003,,-1,100,Inactive,2338.6606,612.3678
2024-10-23 07:00:00,12345678,Inactive,12,Inactive,573.59796,575.45551,12345678,-1,50,Inactive,23.886646,229.48192,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,913.3302,999.51563,,Inactive,0,Inactive,805.79279,898.09003,,-1,100,Inactive,2397.4917,612.3678
2024-10-23 08:00:00,12345678,Inactive,12,Inactive,575.47235,575.45551,12345678,-1,50,Inactive,24.427862,228.38,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,934.49146,999.51563,,Inactive,0,Inactive,825.29083,898.09003,,-1,100,Inactive,2456.323,612.3678
2024-10-23 09:00:00,12345678,Inactive,12,Inactive,577.34668,575.45551,12345678,-1,50,Inactive,24.969078,227.27811,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,955.65265,999.51563,,Inactive,0,Inactive,844.78882,898.09003,,-1,100,Inactive,2515.1541,612.3678
2024-10-23 10:00:00,12345678,Inactive,12,Inactive,579.22101,578.1178,12345678,-1,50,Inactive,25.510294,226.17621,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,976.8139,999.51563,,Inactive,0,Inactive,864.28687,898.09003,,-1,100,Inactive,2573.9854,612.3678
2024-10-23 11:00:00,12345678,Inactive,12,Inactive,581.09534,578.1178,12345678,-1,50,Inactive,26.05151,225.0743,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Active,996.81445,551.9707,,Inactive,0,Inactive,883.78491,898.09003,,-1,100,Inactive,2632.8164,612.3678
2024-10-23 12:00:00,12345678,Inactive,12,Inactive,582.96973,578.1178,12345678,-1,50,Inactive,26.592726,223.9724,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,992.78735,998.33789,,Inactive,0,Inactive,903.28296,898.09003,,-1,100,Inactive,2691.6475,612.3678
2024-10-23 13:00:00,12345678,Inactive,12,Inactive,584.84406,578.1178,12345678,-1,50,Inactive,27.133942,222.8705,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,988.76025,998.33789,,Inactive,0,Inactive,922.78094,898.09003,,-1,100,Inactive,2750.4788,612.3678
2024-10-23 14:00:00,12345678,Inactive,12,Inactive,586.71838,578.1178,12345678,-1,50,Inactive,27.675158,221.76859,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,984.73315,998.33789,,Inactive,0,Inactive,942.27899,898.09003,,-1,100,Inactive,2809.3098,612.3678
2024-10-23 15:00:00,12345678,Inactive,12,Inactive,588.59271,578.1178,12345678,-1,50,Inactive,28.216373,220.66669,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,980.70605,998.33789,,Inactive,0,Inactive,961.77704,898.09003,,-1,100,Inactive,2868.1409,612.3678
2024-10-23 16:00:00,12345678,Inactive,12,Inactive,590.46704,578.1178,12345678,-1,50,Inactive,28.757589,219.56477,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,976.67896,998.33789,,Inactive,0,Inactive,971,970.92792,,-1,100,Inactive,2926.9722,612.3678
2024-10-23 17:00:00,12345678,Inactive,12,Inactive,592.34143,578.1178,12345678,-1,50,Inactive,29.298805,218.46288,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,972.65186,998.33789,,Inactive,0,Inactive,971,970.92792,,-1,100,Inactive,2985.8032,612.3678
2024-10-23 18:00:00,12345678,Inactive,12,Inactive,594.21576,578.1178,12345678,-1,50,Inactive,29.840021,217.36098,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,968.62482,1004.2275,,Inactive,0,Inactive,971,970.92792,,-1,100,Inactive,3044.6345,612.3678
2024-10-23 19:00:00,12345678,Inactive,12,Inactive,596.09009,578.97131,12345678,-1,50,Inactive,30.381237,216.25906,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,964.59772,1004.2275,,Inactive,0,Inactive,971,970.92792,,-1,100,Inactive,3103.4656,612.3678
2024-10-23 20:00:00,12345678,Inactive,12,Inactive,597.96442,578.97131,12345678,-1,50,Inactive,30.922453,215.15717,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,960.57062,1004.2275,,Inactive,0,Inactive,904.68567,970.92792,,-1,100,Inactive,3162.2966,612.3678
2024-10-23 21:00:00,12345678,Inactive,12,Inactive,599.83881,578.97131,12345678,-1,50,Inactive,31.463669,214.05527,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,956.54352,1004.2275,,Inactive,0,Inactive,794.26563,970.92792,,-1,100,Inactive,3072.7866,3174.2036
2024-10-23 22:00:00,12345678,Inactive,12,Inactive,601.71313,578.97131,12345678,-1,50,Inactive,32.004887,212.95335,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,952.51642,1004.2275,,Inactive,0,Inactive,683.84558,970.92792,,-1,100,Inactive,2953.9773,3174.2036
